Main engine shaft RPM,Main engine shaft power (KW),Mean draft (m),Wave height (m),Wind speed (m/s),Current speed (m/s),Speed through water (kn),Swell height (m),Trim (m),Main engine consumption (L/hr),is_synthetic
0.0,0.0,14.0,0.77,5.4,0.288,0.3103,1.0,0.6000000000000014,1296.0,0
0.0,0.0,14.0,0.235,3.3,0.152,0.13,1.045,0.6000000000000014,183.0,0
0.0,0.0,14.0,0.155,2.25,0.1655,0.1306,1.035,0.6000000000000014,100.0,0
0.0,0.0,14.0,0.205,3.5,0.1675,0.3613,1.0,0.6000000000000014,100.1912,0
0.0,0.0,14.0,0.31,4.9,0.171,0.2899,1.0,0.6000000000000014,100.1738,0
0.0,0.0,14.0,0.785,4.65,0.161,0.23,0.92,0.6000000000000014,100.2061,0
0.0,0.0,14.0,0.86,3.6,0.152,0.2702,0.91,0.6000000000000014,100.1819,0
0.0,0.0,14.0,0.845,2.85,0.143,0.0499,0.925,0.6000000000000014,100.1938,0
0.0,0.0,14.0,0.845,2.85,0.143,0.1499,0.925,0.6000000000000014,100.1934,0
0.0,0.0,14.0,0.845,2.85,0.143,0.1703,0.925,0.6000000000000014,100.1968,0
0.0,0.0,14.0,0.845,2.85,0.143,0.07,0.925,0.6000000000000014,100.1877,0
0.0,0.0,14.0,0.63,3.5,0.133,0.0701,0.99,0.6000000000000014,100.2114,0
0.0,0.0,14.0,0.63,3.5,0.133,0.0901,0.99,0.6000000000000014,100.1938,0
0.0,0.0,14.0,0.405,2.7,0.122,0.309,1.02,0.6000000000000014,100.1792,0
0.0,0.0,14.0,0.405,2.7,0.122,0.3088,1.02,0.6000000000000014,100.1973,0
0.0,0.0,14.0,0.41,4.4,0.101,0.2897,1.02,0.6000000000000014,100.1819,0
0.0,0.0,14.0,0.42,4.7,0.0945,0.2706,1.01,0.6000000000000014,100.1873,0
0.0,0.0,14.0,0.45,4.55,0.0915,0.2298,1.0,0.6000000000000014,100.1938,0
0.0,0.0,14.0,0.45,4.55,0.0915,0.2706,1.0,0.6000000000000014,100.1904,0
